epochs, EmbeddingSimilarity,nll-test,
1,-0.0173147815673,1.57624,
6,-0.0167105192725,1.34311,
11,-0.0167581282656,1.30076,
16,-0.0166661025701,1.27942,
21,-0.0167073926016,1.26587,
26,-0.0165489853678,1.25924,
31,-0.0167576568149,1.25431,
36,-0.0168931652872,1.25069,
41,-0.0168220516062,1.24586,
46,-0.0167943374328,1.24227,
51,-0.0170672568697,1.24464,
56,-0.0168607917125,1.24541,
61,-0.0167147722893,1.24395,
66,-0.0168311942421,1.24437,
71,-0.0170223750466,1.25922,
76,-0.0170572815979,1.27929,
81,-0.0173021026851,1.31049,
86,-0.0174074713158,1.35492,
91,-0.0172634888331,1.36442,
96,-0.0173194129878,1.379,
101,-0.0173785637732,1.37834,
106,-0.0178128328089,1.46531,
111,-0.0175054529437,1.43117,
116,-0.0177002195593,1.48908,
121,-0.017837051055,1.52452,
126,-0.0182002832789,1.67895,
130,-0.0183702656896,1.73045,
